,Pub names,Rating,Review count,Price range,Category,Neighbourhood,Location,Website
0,Scobies Irish Pub,4.5,26,€,Irish Pub,L'Eixample,"Ronda de la Universidad, 8--08007 Barcelona--Spain",http://scobiesirishpub.com/ind…
1,H1898 Rooftopbar,4.0,7,€€,Pubs,El Raval,"Les Rambles, 109--08002 Barcelona--Spain",http://www.hotel1898.com/es/
2,L’Ovella Negra,4.0,78,€,Pubs,El Raval,"Carrer de les Sitges, 5--08001 Barcelona--Spain",http://www.ovellanegra.com
3,Bobby’s Free,4.5,21,€,Pubs,L'Eixample,"Carrer de Pau Claris, 85--08010 Barcelona--Spain",http://www.bobbysfree.com/en/
4,Madame George,5.0,4,€,Lounges,Poblenou,"Carrer de Pujades, 179--08005 Barcelona--Spain",http://www.madamegeorgebar.com
5,Nevermind,4.5,15,€,Beer Bar,El Raval,"Carrer dels Tallers, 68--08001 Barcelona--Spain",
6,The Michael Collins,4.0,40,€€,Irish Pub,L'Eixample,"Plaça de la Sagrada Família, 4--08013 Barcelona--Spain",http://www.michaelcollinspubs.…
7,Bar Rubí,4.5,38,€,Spanish,"Sant Pere, Santa Caterina i la Ribera-Born","Carrer Banys Vells, 6--08003 Barcelona--Spain",
8,Old Fashioned,5.0,108,€€,Cocktail Bars,Gràcia,"Carrer de Santa Teresa, 1--08012 Barcelona--Spain",http://cocktailsbarcelona.oldf…
9,The Bollocks,4.0,18,€,Pubs,Barri Gòtic,"Carrer Ample, 46--08002 Barcelona--Spain",http://www.bollocksbcn.com
10,Biercab,4.5,124,€,Beer Bar,L'Eixample,"Carrer de Muntaner, 55--08011 Barcelona--Spain",http://biercab.com/
11,Flaherty’s,4.0,41,€,Burgers,Barri Gòtic,"Plaça de Joaquim Xirau, s/n--08002 Barcelona--Spain",http://www.pflaherty.com/barce…
12,Dow Jones,3.5,47,€€,Pubs,L'Eixample,"Carrer del Bruc, 97--08009 Barcelona--Spain",http://www.dowjonesbar.com
13,El Bosc de les Fades,4.0,121,€€,Coffee & Tea,Barri Gòtic,"Passatge de la Banca, 5--08002 Barcelona--Spain",http://www.museocerabcn.com/bo…
14,Obama,3.5,40,€€,Bars,L'Eixample,"Gran Via de les Corts Catalanes, 603--08007 Barcelona--Spain",http://www.obamabcn.com
15,Tandem,5.0,28,€€,Cocktail Bars,L'Eixample,"Carrer d'Aribau, 86--08036 Barcelona--Spain",
16,Hemingway,5.0,18,€€€,Cocktail Bars,L'Eixample,"Carrer de Muntaner, 114--08036 Barcelona--Spain",http://www.hemingwaybcn.com
17,Samba Brasil,4.0,8,€€,Cocktail Bars,L'Eixample,"Carrer de Lepant, 297--08025 Barcelona--Spain",
18,The George Payne,3.5,61,€€,Irish Pub,L'Eixample,"Plaça d'Urquinaona, 5--08010 Barcelona--Spain",http://www.thegeorgepayne.com
19,Snooker,4.0,2,€€,Pubs,L'Eixample,"Carrer de Roger de Llúria, 42--08009 Barcelona--Spain",http://www.snookerbarcelona.co…
20,Limerick,4.0,2,,Sports Bars,L'Eixample,"Carrer del Bruc, 55--08009 Barcelona--Spain",
21,Otto Zutz,3.5,50,€€,Dance Clubs,Sarrià - Sant Gervasi,"Carrer de Lincoln, 15--08006 Barcelona--Spain",http://www.ottozutz.com
22,My Bar,4.5,7,€€,Irish Pub,Barri Gòtic,"Carrer de Ferran, 8--08002 Barcelona--Spain",http://mybarcelona.es/
23,McCarthy’s,4.0,4,,Irish Pub,€€,"Via Laietana, 44--08002 Barcelona--Spain",http://mccarthysbarbarcelona.c…
24,Garage Beer Co,4.5,43,€,Pubs,L'Eixample,,
25,Chill Bar,4.5,142,€,Tapas Bars,L'Eixample,"Carrer Provença, 424--08025 Barcelona--Spain",http://www.chillbarcelona.com
26,JazzMan,4.5,13,€€,Jazz & Blues,L'Eixample,"Carrer de Roger de Flor, 238--08025 Barcelona--Spain",http://www.jazzmanbcn.com
27,Polaroid,4.0,31,€,Pubs,Barri Gòtic,"Carrer dels Còdols, 29--08002 Barcelona--Spain",http://www.polaroidbar.es/
28,George & Dragon,3.5,2,€€€,Pubs,L'Eixample,,
29,La Cinemateca,4.0,6,€€,Pubs,L'Eixample,"Carrer de Pau Claris, 120--08009 Barcelona--Spain",http://www.cinematecabar.com/e…
30,La Pepita,4.5,514,€€,Tapas Bars,Gràcia,"Carrer de Còrsega, 343--08037 Barcelona--Spain",http://www.lapepitabcn.com
31,London Bar,4.0,14,€,Pubs,El Raval,"Carrer Nou de la Ramba, 34--08001 Barcelona--Spain",
32,Marsella,4.0,51,€,Pubs,El Raval,"Carrer de Sant Pau, 65--08001 Barcelona--Spain",
33,The Black Horse,4.0,6,€€,Irish Pub,"Sant Pere, Santa Caterina i la Ribera-Born","Carrer de l'Allada-Vermell, 16--08003 Barcelona--Spain",
34,The Philharmonic,4.0,14,€€,Pubs,L'Eixample,"Carrer de Mallorca, 204--08036 Barcelona--Spain",http://www.the-philharmonic.co…
35,Elephanta,4.5,32,€€,Pubs,Gràcia,"Carrer del Torrent d'en Vidalet, 37--08012 Barcelona--Spain",http://www.elephanta.cat
36,La Birreria,4.5,3,€,Beer Bar,Gràcia,"Carrer de la Riera de Sant Miquel, 70--08006 Barcelona--Spain",
37,First Bar,4.5,7,€,Cocktail Bars,Barri Gòtic,"Carrer d'en Rauric, 9--08002 Barcelona--Spain",
38,Hogan’s Australian Pub,4.0,5,€€,Pubs,El Raval,"La Rambla, 81--08001 Barcelona--Spain",
39,The Black Lion,3.5,6,€,Pubs,Les Corts,"Carrer d'Evarist Arnús, 70--08014 Barcelona--Spain",http://blacklionbcn.wix.com/th…
40,The Lime House,4.0,13,€€,Pubs,"Sant Pere, Santa Caterina i la Ribera-Born","Carrer dels Carders, 31--08003 Barcelona--Spain",
41,Bonavida,4.5,10,€,Pubs,L'Eixample,"Carrer de Casp, 22--08010 Barcelona--Spain",
42,Dublin Sports,3.5,9,€€,Sports Bars,Sarrià - Sant Gervasi,"Plaça de Joan Llongueras, 5--08021 Barcelona--Spain",
43,Musical María,4.5,8,€€,Pubs,Gràcia,"Carrer de Maria, 5--08012 Barcelona--Spain",
44,Dunne’s Irish Bar,3.5,36,€€,Irish,Barri Gòtic,"Via Laietana, 19-21--08003 Barcelona--Spain",http://www.dunnesirishbar.com/
45,Xixbar,4.5,26,€€,Cocktail Bars,L'Eixample,"Carrer de Rocafort, 19--08015 Barcelona--Spain",https://xixbar.com
46,Gato Negro,4.5,5,€,Pubs,Gràcia,"Carrer de Sant Lluís,47--08012 Barcelona--Spain",
47,Lennox,4.0,4,,Irish Pub,"Sant Pere, Santa Caterina i la Ribera-Born","Pla de Palau, 9--08003 Barcelona--Spain",http://www.lennox-thepub.com
48,Le Standard,4.5,3,,Pubs,Gràcia,"Carrer del Topazi, 24--08012 Barcelona--Spain",
49,Belushi’s,3.5,20,€,Pubs,L'Eixample,"Carrer de Bergara, 3--08001 Barcelona--Spain",http://www.belushis.com/bars/b…
50,Craft Barcelona,4.0,20,€,Tapas Bars,Barri Gòtic,"Carrer del Paradis, 4--08002 Barcelona--Spain",http://www.craftbarcelona.com
51,Stoke Bar,4.0,31,€€,Pubs,Barri Gòtic,"Carrer dels Banys Nous, 8--08002 Barcelona--Spain",http://www.stoketravel.com/
52,Fizz Barcelona,4.5,3,,Cocktail Bars,L'Eixample,"Carrer de Balmes, 83--08008 Barcelona--Spain",http://www.fizzbarcelona.com/
53,Bloomsday Irish Pub,5.0,3,,Irish,El Raval,"Carrer La Rambla, 21--08002 Barcelona--Spain",http://www.barinbarcelona.com
54,Barna Brew,4.5,5,€,Beer Bar,L'Eixample,"Carrer del Parlament, 45--08015 Barcelona--Spain",
55,Pippermint,3.0,11,€€,Dive Bars,Sarrià - Sant Gervasi,"Carrer de Borí i Fonestà, 20--08021 Barcelona--Spain",http://www.pippermintbcn.com
56,Obama Gastropub,3.5,13,,British,Gràcia,"Carrer Bruniquer, 30--08012 Barcelona--Spain",
