,name,Rating,Review count,Price range,Category,Neighbourhood,nb_photos,street,postal_code
0,Cerveseria Catalana,4.5,1279,[12 - 33],Spanish,L'Eixample,3852,"Carrer de Mallorca, 236",08008 Barcelona
1,My Fucking Restaurant,4.5,89,[34 - 66],Catalan,El Raval,235,"Carrer Nou de la Rambla, 35",08001 Barcelona
2,Ciutat Comtal,4.0,1120,[12 - 33],Tapas Bars,L'Eixample,3450,"Rambla de Catalunya, 18",08007 Barcelona
3,Tapeo,4.5,451,[12 - 33],Tapas Bars,"Sant Pere, Santa Caterina i la Ribera-Born",1114,"Carrer de Montcada, 29",08003 Barcelona
4,Arume,4.5,633,[12 - 33],Mediterranean,El Raval,1600,"Carrer d'En Botella, 11",08007 Barcelona
5,Taquerías Tamarindo,4.5,208,under 11,Mexican,L'Eixample,326,"Carrer de Aragón, 236",08007 Barcelona
6,Vinitus,4.5,304,[12 - 33],Tapas Bars,L'Eixample,1075,"Carrer Del Consell de Cent, 333",08007 Barcelona
7,Somorrostro,4.5,368,[12 - 33],Catalan,Barceloneta,905,"Carrer de Sant Carles, 11",08003 Barcelona
8,Cañete,4.5,392,[34 - 66],Tapas/Small Plates,El Raval,1156,"Carrer de la Unió, 17",08001 Barcelona
9,Firebug,4.5,125,[12 - 33],Tapas Bars,L'Eixample,258,"Passeig de Sant Joan, 23",08010 Barcelona
10,Firebug,4.5,125,[12 - 33],Tapas Bars,L'Eixample,614,"Passeig de Sant Joan, 23",08010 Barcelona
11,El Nacional,4.0,330,[12 - 33],Seafood,L'Eixample,1326,"Passeig de Gracia, 24",08007 Barcelona
12,Tucco Real Food Born,4.5,618,under 11,Argentine,"Sant Pere, Santa Caterina i la Ribera-Born",1340,"Carrer del Consolat de Mar, 23",08003 Barcelona
13,Disfrutar,5.0,110,over 67,Modern European,L'Eixample,404,"Carrer de Villarroel, 163",08036 Barcelona
14,Tosca,4.5,240,[12 - 33],Spanish,"Sant Pere, Santa Caterina i la Ribera-Born",85,"Carrer de Sant Pere Més Alt, 8",08003 Barcelona
15,Brunch & Cake,4.0,852,[12 - 33],Breakfast & Brunch,L'Eixample,419,"Carrer d'Enric Granados, 145",08008 Barcelona
16,Brunch & Cake,4.5,54,[12 - 33],Desserts,L'Eixample,134,"Carrer d'Enric Granados, 145",08008 Barcelona
17,Can Paixano,4.5,378,under 11,Tapas/Small Plates,"Sant Pere, Santa Caterina i la Ribera-Born",184,"Carrer de la Reina Cristina, 7",08003 Barcelona
18,El Pintxo de Petritxol,4.5,109,[12 - 33],Basque,Barri Gòtic,20,"Carrer de Petritxol, 9",08002 Barcelona
19,Boa-Bao,4.5,6,,Cocktail Bars,L'Eixample,105,"Plaça del Dr. Letamendi, 1",08007 Barcelona
20,El Asador de Aranda,4.5,28,[34 - 66],Steakhouses,L'Eixample,576,"Calle Pau Claris, 70",08010 Barcelona
21,El Asador de Aranda,4.5,28,[34 - 66],Steakhouses,L'Eixample,416,"Calle Pau Claris, 70",08010 Barcelona
22,Restaurant La Tasqueta de Blai,4.5,230,under 11,Tapas Bars,El Poble-sec,,"Carrer de Blai, 17",08004 Barcelona
23,Telefèric,4.0,178,[12 - 33],Tapas/Small Plates,L'Eixample,2292,"Plaça Doctor Letamendi, 27",08007 Barcelona
24,Arcano,4.5,292,[34 - 66],Spanish,"Sant Pere, Santa Caterina i la Ribera-Born",43,,
25,Tickets,4.5,195,over 67,Tapas Bars,L'Eixample,1224,"Avenida del Paral·lel, 164",08015 Barcelona
26,El Jardín del Edén,4.5,16,,Tapas Bars,El Raval,132,"Carrer de Jovellanos, 3",08001 Barcelona
27,Cera 23,4.5,555,[12 - 33],Spanish,El Raval,155,"Carrer de la Cera, 23",08001 Barcelona
28,A Tu Bola,4.5,79,under 11,Tapas/Small Plates,El Raval,294,Carrer Hospital 78,08001 Barcelona
29,A Tu Bola,4.5,79,under 11,Tapas/Small Plates,El Raval,,Carrer Hospital 78,08001 Barcelona
30,Guell,4.5,64,[12 - 33],Tapas/Small Plates,El Raval,97,"Calle Nou de la Rambla, 20",08001 Barcelona
31,Bar Mut,4.5,149,[34 - 66],Wine Bars,L'Eixample,27,"Carrer de Pau Claris, 192",08037 Barcelona
32,Bar Mut,4.5,149,[34 - 66],Wine Bars,L'Eixample,136,"Carrer de Pau Claris, 192",08037 Barcelona
33,Buenos Aires,4.5,55,[12 - 33],Steakhouses,L'Eixample,1065,"Carrer Valencia, 189",08011 Barcelona
