name,rating,reviews,price_range,street,postal_code,nb_photos,Latitude,Longitude,Business_type
Cerveseria Catalana,4.5,1279.0,[12 - 33],"Carrer de Mallorca, 236",08008 Barcelona,3852,41.392402000000004,2.160929,restaurant
My Fucking Restaurant,4.5,89.0,[34 - 66],"Carrer Nou de la Rambla, 35",08001 Barcelona,235,41.377764899999995,2.1731434,restaurant
Ciutat Comtal,4.0,1120.0,[12 - 33],"Rambla de Catalunya, 18",08007 Barcelona,3450,41.388946000000004,2.1668409,restaurant
Tapeo,4.5,451.0,[12 - 33],"Carrer de Montcada, 29",08003 Barcelona,1114,41.384580299999996,2.1817377999999996,restaurant
Arume,4.5,633.0,[12 - 33],"Carrer d'En Botella, 11",08007 Barcelona,1600,41.378961700000005,2.1659756000000003,restaurant
Taquerías Tamarindo,4.5,208.0,under 11,"Carrer de Aragón, 236",08007 Barcelona,326,41.389898200000005,2.162191,restaurant
Vinitus,4.5,304.0,[12 - 33],"Carrer Del Consell de Cent, 333",08007 Barcelona,1075,41.3900278,2.1640349999999997,restaurant
Somorrostro,4.5,368.0,[12 - 33],"Carrer de Sant Carles, 11",08003 Barcelona,905,41.3791445,2.1890522999999997,restaurant
Cañete,4.5,392.0,[34 - 66],"Carrer de la Unió, 17",08001 Barcelona,1156,41.3790152,2.1732419999999997,restaurant
Firebug,4.5,125.0,[12 - 33],"Passeig de Sant Joan, 23",08010 Barcelona,258,41.392737200000006,2.1778443,restaurant
El Nacional,4.0,330.0,[12 - 33],"Passeig de Gracia, 24",08007 Barcelona,1326,41.3903065,2.1680629000000002,restaurant
Tucco Real Food Born,4.5,618.0,under 11,"Carrer del Consolat de Mar, 23",08003 Barcelona,614,41.3823242,2.1819702999999997,restaurant
Disfrutar,5.0,110.0,over 67,"Carrer de Villarroel, 163",08036 Barcelona,1340,41.3877605,2.1531960999999997,restaurant
Tosca,4.5,240.0,[12 - 33],"Carrer de Sant Pere Més Alt, 8",08003 Barcelona,404,41.3873904,2.1756394,restaurant
Brunch & Cake,4.0,852.0,[12 - 33],"Carrer d'Enric Granados, 145",08008 Barcelona,85,41.3942674,2.1536372000000004,restaurant
Can Paixano,4.5,378.0,under 11,"Carrer de la Reina Cristina, 7",08003 Barcelona,419,41.381799,2.1834196,restaurant
El Pintxo de Petritxol,4.5,109.0,[12 - 33],"Carrer de Petritxol, 9",08002 Barcelona,184,41.3827508,2.173148,restaurant
Boa-Bao,4.5,6.0,,"Plaça del Dr. Letamendi, 1",08007 Barcelona,20,41.3885623,2.1606933999999995,restaurant
El Asador de Aranda,4.5,28.0,[34 - 66],"Calle Pau Claris, 70",08010 Barcelona,105,41.389317299999995,2.1720615000000003,restaurant
Restaurant La Tasqueta de Blai,4.5,230.0,under 11,"Carrer de Blai, 17",08004 Barcelona,576,41.373302200000005,2.1653446,restaurant
Telefèric,4.0,178.0,[12 - 33],"Plaça Doctor Letamendi, 27",08007 Barcelona,416,41.389783,2.1607957000000004,restaurant
Arcano,4.5,292.0,[34 - 66],,,,,,restaurant
Tickets,4.5,195.0,over 67,"Avenida del Paral·lel, 164",08015 Barcelona,2292,41.375319399999995,2.1568267999999997,restaurant
El Jardín del Edén,4.5,16.0,,"Carrer de Jovellanos, 3",08001 Barcelona,43,41.3851722,2.1678005000000002,restaurant
Cera 23,4.5,555.0,[12 - 33],"Carrer de la Cera, 23",08001 Barcelona,1224,41.3788316,2.1663514999999998,restaurant
A Tu Bola,4.5,79.0,under 11,Carrer Hospital 78,08001 Barcelona,132,41.3801216,2.1689582,restaurant
Guell,4.5,64.0,[12 - 33],"Calle Nou de la Rambla, 20",08001 Barcelona,155,41.3786657,2.1737371,restaurant
Bar Mut,4.5,149.0,[34 - 66],"Carrer de Pau Claris, 192",08037 Barcelona,294,41.3973097,2.1612477,restaurant
Buenos Aires,4.5,55.0,[12 - 33],"Carrer Valencia, 189",08011 Barcelona,97,41.3894519,2.1586272999999996,restaurant
Le Romane,5.0,12.0,,"Carrer de Muntaner, 103",08011 Barcelona,27,41.388789700000004,2.15636,restaurant
La Pepita,4.5,514.0,[12 - 33],"Carrer de Còrsega, 343",08037 Barcelona,1065,41.397985399999996,2.1610264,restaurant
Cachitos,4.0,98.0,[12 - 33],"Rambla Catalunya, 33",08007 Barcelona,237,41.3895111,2.1652823,restaurant
2254,4.5,62.0,[34 - 66],"Consell de Cent, 335",08007 Barcelona,99,41.390097499999996,2.1641817999999997,restaurant
Federal,4.5,55.0,under 11,"Passatge de la Pau, 11",08002 Barcelona,136,41.3779525,2.1777847,restaurant
Lizarran,4.0,52.0,under 11,"Carrer de Mallorca, 257",08008 Barcelona,78,41.393454600000005,2.1618641,restaurant
Momo,4.5,23.0,[12 - 33],"Carrer Arc de Sant Ramon del Call, 6",08002 Barcelona,46,41.3823578,2.1756189,restaurant
Paradiso,4.5,105.0,[12 - 33],"Carrer de Rera Palau, 4",08003 Barcelona,280,41.3836305,2.1836644,restaurant
Sensi,4.5,377.0,[12 - 33],,,,,,restaurant
Alsur Café,4.0,325.0,under 11,"Carrer de Roger de Llúria, 23",08010 Barcelona,662,41.39115820000001,2.1711796000000003,restaurant
Maitea,4.5,128.0,[12 - 33],"Carrer de Casanova, 155",08036 Barcelona,272,41.3909822,2.1510644,restaurant
Betlem,4.5,61.0,[12 - 33],"Carrer de Girona, 70",08009 Barcelona,161,41.394992200000004,2.1712151,restaurant
Llamber,4.5,133.0,[34 - 66],"Carrer Fusina, 5",08003 Barcelona,262,41.3863924,2.1829845000000003,restaurant
Micu Maku,4.5,13.0,under 11,"Carrer d'Aribau, 22",08011 Barcelona,99,41.3868179,2.1616939,restaurant
O’Toxo 3 Hermanos,4.5,92.0,[12 - 33],"Carrer del Carme, 59",08001 Barcelona,191,41.3809929,2.1681899,restaurant
Bilbao Berria,4.0,152.0,[12 - 33],"Plaça Nova, 3",08002 Barcelona,288,41.3841913,2.174928,restaurant
La Cuina de Laietana,4.5,23.0,[12 - 33],"Via Laietana, 71",08003 Barcelona,39,41.3882466,2.1728292999999996,restaurant
Macchina,4.5,32.0,under 11,"Carrer d'Astúries, 17",08012 Barcelona,126,41.403042299999996,2.1535234,restaurant
Bo de Boqueria,5.0,15.0,,"Carrer Petxina, 5-7",08001 Barcelona,22,41.38140679999999,2.1724294,restaurant
Caravelle,4.5,223.0,[12 - 33],"Carrer del Pintor Fortuny, 31",08001 Barcelona,444,41.3822909,2.1688275000000004,restaurant
La Bodegueta,4.0,36.0,[34 - 66],"Rambla de Catalunya, 100",08002 Barcelona,71,41.3936518,2.1604148,restaurant
Raó,4.5,32.0,,"Carrer de les Sitges, 3",08001 Barcelona,146,41.38429,2.1695717,restaurant
Terrace la Isabela,4.5,2.0,[34 - 66],"Les Rambles, 109",08002 Barcelona,17,41.38346729999999,2.1712016,restaurant
El Vaso de Oro,4.5,178.0,[12 - 33],"Carrer de Balboa, 6",08003 Barcelona,359,41.381854100000005,2.1873102,restaurant
9 Nine,5.0,45.0,[34 - 66],"Carrer València, 334",08009 Barcelona,146,41.3962877,2.168549,restaurant
Paco Alcalde,4.5,41.0,[12 - 33],"Carrer de l'Almirall Aixada, 12",08003 Barcelona,120,41.377634,2.1884023999999997,restaurant
Xian,4.5,11.0,,"Carrer de Ferran, 39",,32,,,restaurant
Casa Alfonso,4.0,108.0,[12 - 33],"Carrer de Roger de Llúria, 6",08010 Barcelona,166,41.3901179,2.1731748,restaurant
La Caravana,5.0,15.0,under 11,"Carrer de Mozart, 15",08012 Barcelona,15,41.3993011,2.1582299,restaurant
Mosquito,4.0,144.0,under 11,"Carrer dels Carders, 46",08003 Barcelona,172,41.3873789,2.1805806,restaurant
Nubar,4.5,4.0,,"Passeig de Gràcia, 53",08007 Barcelona,30,41.39230739999999,2.1638662,restaurant
Quimet & Quimet,4.5,454.0,[12 - 33],"Carrer del Poeta Cabanyes, 25",08004 Barcelona,1380,41.3738961,2.1655838,restaurant
La Bombeta,4.5,84.0,[12 - 33],"Carrer de la Maquinista, 3",08003 Barcelona,138,41.3805737,2.1877361,restaurant
Billy Brunch,5.0,42.0,,"Carrer de Bailèn, 115",08009 Barcelona,104,41.39766229999999,2.1692976,restaurant
Citizen Café,4.5,53.0,[12 - 33],"Plaça d'Urquinaona, 4",08010 Barcelona,124,41.38948,2.1727717,restaurant
Pinotxo Bar,4.5,218.0,[12 - 33],"La Rambla, 91",08002 Barcelona,564,41.3821476,2.1720569,restaurant
Gata Mala,5.0,140.0,under 11,"Carrer de Rabassa, 37",08024 Barcelona,146,41.4079093,2.1576823,restaurant
Elsa y Fred,4.5,149.0,[12 - 33],"Carrer del Rec Comtal, 11",08003 Barcelona,332,41.389788200000005,2.1797687999999997,restaurant
Flax & Kale,4.0,265.0,[12 - 33],"Carrer dels Tallers, 74",08001 Barcelona,756,41.3851739,2.165188,restaurant
La Tagliatella,4.0,72.0,[12 - 33],"Carrer de Pau Claris, 118",08009 Barcelona,86,41.3922797,2.1679379,restaurant
Milk Bar & Bistro,4.5,431.0,[12 - 33],"Carrer d'en Gignàs, 21",08002 Barcelona,649,41.380247,2.1792235,restaurant
Eat My Trip,4.5,73.0,[12 - 33],"Carrer del Consell de Cent, 378",08009 Barcelona,193,41.3951185,2.1714472999999996,restaurant
Chongqing Liuyishou Hotpot,4.5,5.0,,"Carrer del Consell de Cent, 303",08007 Barcelona,13,41.388909600000005,2.1624021,restaurant
Benzina,4.5,13.0,,"Passatge de Pere Calders, 6",08015 Barcelona,87,41.376169700000005,2.1627853999999997,restaurant
El Arbol Brunch,4.5,39.0,[12 - 33],"Carrer d' Aribau, 36",08011 Barcelona,77,41.3873145,2.1610887,restaurant
Las Sorrentinas,4.5,44.0,under 11,"Plaça de Sant Pere, 5",08003 Barcelona,84,41.389255299999995,2.1794272,restaurant
Luigi,4.5,43.0,[12 - 33],"Carrer de Roger de Llúria, 50",08009 Barcelona,38,41.3929049,2.1695471,restaurant
Chen Ji,4.0,98.0,under 11,"Carrer d'Ali Bei, 65",08013 Barcelona,139,41.393713700000006,2.1806039,restaurant
