0
"Rambla del Raval, 17 - 21 08001 Barcelona"
"La Rambla, 109 08002 Barcelona"
"Plaça de la Rosa dels Vents, 1 08039 Barcelona"
"Paseo la Rambla, 138 08002 Barcelona"
"Carrer Bergara, 8 08002 Barcelona"
""
"Gran Via de les Corts Catalanes, 670 08010 Barcelona"
""
"Passeig de Gracia, 68 08007 Barcelona"
"Pau Claris, 122 08009 Barcelona"
"Carrer de Calàbria, 115 08015 Barcelona"
Marina 19-21 08005 Barcelona
"Passeig de Gràcia, 38-40 08007 Barcelona"
"Pelai, 3, Eixample 08001 Barcelona"
"Passeig de Picasso, 26 08003 Barcelona"
"Carrer d'Arago, 323 08009 Barcelona"
"Vía Laietana, 30 08003 Barcelona"
"Carrer de Còrsega, 482 08025 Barcelona"
"Carrer de Mallorca, 271 08008 Barcelona"
"Avenida Diagonal, 201 08018 Barcelona"
"Passeig de Gràcia, 132 08008 Barcelona"
"Avinguda de Francesc Cambó, 14 08003 Barcelona"
"Avinguda Paral-lel, 76 08001 Barcelona"
"Rambla de Catalunya, 26 08007 Barcelona"
"Carrer del Dr. Joaquim Pou, 2-4-6 08002 Barcelona"
"Carrer Pau Claris, 150 08009 Barcelona"
"Carrer de Mallorca, 251 08008 Barcelona"
"Avinguda Diagonal, 589-591 08014 Barcelona"
"Passeig de Colom, 12 08002 Barcelona"
"Carrer dels Lledó, 7 08002 Barcelona"
"Gran Via de Les Corts Catalanes, 700 08010 Barcelona"
"Gran Via de les Corts Catalanes, 668 08010 Barcelona"
"Carrer de Provença, 279 08037 Barcelona"
"Carrer del Comte d'Urgell, 232 08036 Barcelona"
"Plaça del Duc de Medinaceli, 4 08002 Barcelona"
"Calle Rec Comtal, 16 08003 Barcelona"
"Passeig de Gràcia, 73 08008 Barcelona"
"Plaça de Pius XII, 4 08028 Barcelona"
"Carrer de  Balmes, 117 08008 Barcelona"
"Via Layetana, 3 08003 Barcelona"
"Carrer de Mallorca, 181 08036 Barcelona"
"La Rambla, 19 08002 Barcelona"
"Carrer del Duc, 15 08002 Barcelona"
"Avinguda Catedral, 7 08002 Barcelona"
"Carrer Pas de Sota Muralla, 9 08003 Barcelona"
""
"Carrer de San Pau, 9-11 08001 Barcelona"
"Via Laietana, 49 08003 Barcelona"
"Avinguda Diagonal, 555 08029 Barcelona"
"Carrer de Riudarenes, 7 08002 Barcelona"
"Passeig del Taulat, 262-264 08019 Barcelona"
"Carrer de Provença, 277 08037 Barcelona"
"Carrer Ample, 1 08002 Barcelona"
"Carrer dels Capellans, 4 08002 Barcelona"
"Passeig de Colom, 9 08002 Barcelona"
"Carrer del Rosselló, 265 08008 Barcelona"
"Carrer de Mallorca, 288 08037 Barcelona"
"Carrer del Roselló, 249 08008 Barcelona"
"Plaça de Catalunya, 10 08002 Barcelona"
"Carrer Ramelleres, 27 08001 Barcelona"
"Plaza Europa, 50-52 08902 Barcelona"
"Plaça Reial, 1 08002 Barcelona"
"Carrer Calvet, 40-42 08021 Barcelona"
"Carrer d'Aribau, 33 08011 Barcelona"
Calle Corsega 541 08029 Barcelona
"Carrer del Pintor Fortuny, 9 08001 Barcelona"
"Carrer de Bailèn, 4-6 08010 Barcelona"
"Moll de Barcelona, s/n 08039 Barcelona"
"Carrer de Sant Sever, 5 08002 Barcelona"
"Ronda Sant Pau, 14 08001 Barcelona"
"Carrer d'Aribau, 54 08011 Barcelona"
"Avinguda del Remolar, 46 08820 El Prat de Llobregat"
"Carrer de Roger de Llúria, 60 08009 Barcelona"
"Passeig de Gràcia, 62 08007 Barcelona"
"Carrer de la Boqueria, 23 08002 Barcelona"
