Address,Latitude,Longitude
"Rambla del Raval, 17 - 21 08001 Barcelona",41.3790381,2.1695983
"La Rambla, 109 08002 Barcelona",41.3834673,2.1712016
"Plaça de la Rosa dels Vents, 1 08039 Barcelona",41.3674464,2.1888016
"Paseo la Rambla, 138 08002 Barcelona",41.3851689,2.1708087
"Carrer Bergara, 8 08002 Barcelona",41.3860816,2.1683428
,,
"Gran Via de les Corts Catalanes, 670 08010 Barcelona",41.3916084,2.1719271
,,
"Passeig de Gracia, 68 08007 Barcelona",41.3935221,2.163977
"Pau Claris, 122 08009 Barcelona",41.3927888,2.1673975
"Carrer de Calàbria, 115 08015 Barcelona",41.3802469,2.1541149
Marina 19-21 08005 Barcelona,41.3977365,2.2015347
"Passeig de Gràcia, 38-40 08007 Barcelona",41.3912786,2.1667383
"Pelai, 3, Eixample 08001 Barcelona",41.3859519,2.1658927
"Passeig de Picasso, 26 08003 Barcelona",41.3866082,2.1839829
"Carrer d'Arago, 323 08009 Barcelona",41.3963208,2.1699118
"Vía Laietana, 30 08003 Barcelona",41.3849695,2.1776631
"Carrer de Còrsega, 482 08025 Barcelona",41.4039366,2.1694703
"Carrer de Mallorca, 271 08008 Barcelona",41.3945549,2.1632686
"Avenida Diagonal, 201 08018 Barcelona",41.4038393,2.1912025
"Passeig de Gràcia, 132 08008 Barcelona",41.3980162,2.1581229
"Avinguda de Francesc Cambó, 14 08003 Barcelona",41.385944,2.1778103
"Avinguda Paral-lel, 76 08001 Barcelona",41.375237,2.1684058
"Rambla de Catalunya, 26 08007 Barcelona",41.3893349,2.1662721
"Carrer del Dr. Joaquim Pou, 2-4-6 08002 Barcelona",41.3861216,2.1753536
"Carrer Pau Claris, 150 08009 Barcelona",41.3944721,2.1652479
"Carrer de Mallorca, 251 08008 Barcelona",41.3932082,2.1614618
"Avinguda Diagonal, 589-591 08014 Barcelona",41.388784,2.1315914
"Passeig de Colom, 12 08002 Barcelona",41.3798064,2.1804649
"Carrer dels Lledó, 7 08002 Barcelona",41.3826336,2.1789912
"Gran Via de Les Corts Catalanes, 700 08010 Barcelona",41.3934981,2.1744033
"Gran Via de les Corts Catalanes, 668 08010 Barcelona",41.3916211,2.1716444
"Carrer de Provença, 279 08037 Barcelona",41.3962911,2.1631561
"Carrer del Comte d'Urgell, 232 08036 Barcelona",41.3896906,2.1489764
"Plaça del Duc de Medinaceli, 4 08002 Barcelona",41.3784473,2.1793251
"Calle Rec Comtal, 16 08003 Barcelona",41.3897906,2.1801623
"Passeig de Gràcia, 73 08008 Barcelona",41.39343,2.1624077
"Plaça de Pius XII, 4 08028 Barcelona",41.3859793,2.1233146
"Carrer de  Balmes, 117 08008 Barcelona",41.3921706,2.158473
"Via Layetana, 3 08003 Barcelona",41.3822923,2.1807526
"Carrer de Mallorca, 181 08036 Barcelona",41.3894736,2.1564207
"La Rambla, 19 08002 Barcelona",41.3782064,2.1755469
"Carrer del Duc, 15 08002 Barcelona",41.3846923,2.1728835
"Avinguda Catedral, 7 08002 Barcelona",41.384962,2.1756663
"Carrer Pas de Sota Muralla, 9 08003 Barcelona",41.3815909,2.1837846
,,
"Carrer de San Pau, 9-11 08001 Barcelona",41.3799306,2.1728184
"Via Laietana, 49 08003 Barcelona",41.387027,2.1742305
"Avinguda Diagonal, 555 08029 Barcelona",41.3898509,2.1357526
"Carrer de Riudarenes, 7 08002 Barcelona",41.380996,2.1796341
"Passeig del Taulat, 262-264 08019 Barcelona",41.4085927,2.217611
"Carrer de Provença, 277 08037 Barcelona",41.3961161,2.1630421
"Carrer Ample, 1 08002 Barcelona",41.3788204,2.1785506
"Carrer dels Capellans, 4 08002 Barcelona",41.3848491,2.1751236
"Passeig de Colom, 9 08002 Barcelona",41.3801834,2.1807974
"Carrer del Rosselló, 265 08008 Barcelona",41.3962147,2.1609684
"Carrer de Mallorca, 288 08037 Barcelona",41.3963324,2.1661692
"Carrer del Roselló, 249 08008 Barcelona",41.3951333,2.1591838
"Plaça de Catalunya, 10 08002 Barcelona",41.3878658,2.1693861
"Carrer Ramelleres, 27 08001 Barcelona",41.3847169,2.1680884
"Plaza Europa, 50-52 08902 Barcelona",41.3564336,2.1231632
"Plaça Reial, 1 08002 Barcelona",41.3803308,2.1757277
"Carrer Calvet, 40-42 08021 Barcelona",41.3948418,2.1435665
"Carrer d'Aribau, 33 08011 Barcelona",41.3872864,2.1604119
Calle Corsega 541 08029 Barcelona,41.4059328,2.1714665
"Carrer del Pintor Fortuny, 9 08001 Barcelona",41.3830532,2.1702188
"Carrer de Bailèn, 4-6 08010 Barcelona",41.3914377,2.1782103
"Moll de Barcelona, s/n 08039 Barcelona",41.3716088,2.1794828
"Carrer de Sant Sever, 5 08002 Barcelona",41.3832269,2.1753423
"Ronda Sant Pau, 14 08001 Barcelona",41.3759896,2.167148
"Carrer d'Aribau, 54 08011 Barcelona",41.3880549,2.1599602
"Avinguda del Remolar, 46 08820 El Prat de Llobregat",41.325142,2.0870909
"Carrer de Roger de Llúria, 60 08009 Barcelona",41.3936086,2.1685298
"Passeig de Gràcia, 62 08007 Barcelona",41.3929971,2.1646338
