,name,rating,reviews,neighbourhood,price_range,street,postal_code
0,Barceló Raval,4.5,56,El Raval,[12 - 33],"Rambla del Raval, 17 - 21",08001 Barcelona
1,Hotel 1898,4.5,76,El Raval,[34 - 66],"La Rambla, 109",08002 Barcelona
2,W Barcelona,4,176,Barceloneta,over 67,"Plaça de la Rosa dels Vents, 1",08039 Barcelona
3,Hotel Continental Barcelona,4.5,12,Barri Gòtic,under 11,"Paseo la Rambla, 138",08002 Barcelona
4,Pulitzer Barcelona,4,42,L'Eixample,[12 - 33],"Carrer Bergara, 8",08002 Barcelona
5,Le Méridien Barcelona,4,84,El Raval,[34 - 66],La Rambla 111,
6,Hotel Cotton House,4.5,47,L'Eixample,[34 - 66],"Gran Via de les Corts Catalanes, 670",08010 Barcelona
7,Hotel Ayre Roselon,4.5,7,L'Eixample,under 11,Rossello 390,
8,Hotel Majestic,4,40,L'Eixample,[34 - 66],"Passeig de Gracia, 68",08007 Barcelona
9,Renaissance Barcelona Hotel,4,53,L'Eixample,[34 - 66],"Pau Claris, 122",08009 Barcelona
10,Villa Emilia,5,25,L'Eixample,[12 - 33],"Carrer de Calàbria, 115",08015 Barcelona
11,Hotel Arts Barcelona,4,103,€€€€,,Marina 19-21,08005 Barcelona
12,Mandarin Oriental,4,40,L'Eixample,over 67,"Passeig de Gràcia, 38-40",08007 Barcelona
13,Hotel Jazz,4.5,22,L'Eixample,[12 - 33],"Pelai, 3, Eixample",08001 Barcelona
14,K+K Hotel Picasso Barcelona,4.5,20,€€,,"Passeig de Picasso, 26",08003 Barcelona
15,Hotel Europark,4.5,46,L'Eixample,[12 - 33],"Carrer d'Arago, 323",08009 Barcelona
16,Grand Hotel Central,4,38,€€€,,"Vía Laietana, 30",08003 Barcelona
17,Hotel Barcelona 1882,4.5,6,Gràcia,,"Carrer de Còrsega, 482",08025 Barcelona
18,Alma Barcelona,4.5,29,L'Eixample,[34 - 66],"Carrer de Mallorca, 271",08008 Barcelona
19,Novotel Barcelona City,4,13,Parc i Llacuna del Poblenou,[12 - 33],"Avenida Diagonal, 201",08018 Barcelona
20,Casa Fuster,4.5,24,Gràcia,over 67,"Passeig de Gràcia, 132",08008 Barcelona
21,The Barcelona EDITION,4,21,"Sant Pere, Santa Caterina i la Ribera-Born",[34 - 66],"Avinguda de Francesc Cambó, 14",08003 Barcelona
22,Hotel Barcelona Universal,4,41,El Raval,[12 - 33],"Avinguda Paral-lel, 76",08001 Barcelona
