0
"Ronda de la Universidad, 8 08007 Barcelona"
"Les Rambles, 109 08002 Barcelona"
"Carrer de les Sitges, 5 08001 Barcelona"
"Carrer de Pau Claris, 85 08010 Barcelona"
"Carrer de Pujades, 179 08005 Barcelona"
"Carrer dels Tallers, 68 08001 Barcelona"
"Plaça de la Sagrada Família, 4 08013 Barcelona"
"Carrer Banys Vells, 6 08003 Barcelona"
"Carrer de Santa Teresa, 1 08012 Barcelona"
"Carrer Ample, 46 08002 Barcelona"
"Carrer de Muntaner, 55 08011 Barcelona"
"Plaça de Joaquim Xirau, s/n 08002 Barcelona"
"Carrer del Bruc, 97 08009 Barcelona"
"Passatge de la Banca, 5 08002 Barcelona"
"Gran Via de les Corts Catalanes, 603 08007 Barcelona"
"Carrer d'Aribau, 86 08036 Barcelona"
"Carrer de Muntaner, 114 08036 Barcelona"
"Carrer de Lepant, 297 08025 Barcelona"
"Plaça d'Urquinaona, 5 08010 Barcelona"
"Carrer de Roger de Llúria, 42 08009 Barcelona"
"Carrer del Bruc, 55 08009 Barcelona"
"Carrer de Lincoln, 15 08006 Barcelona"
"Carrer de Ferran, 8 08002 Barcelona"
"Via Laietana, 44 08002 Barcelona"
""
"Carrer Provença, 424 08025 Barcelona"
"Carrer de Roger de Flor, 238 08025 Barcelona"
"Carrer dels Còdols, 29 08002 Barcelona"
""
"Carrer de Pau Claris, 120 08009 Barcelona"
"Carrer de Còrsega, 343 08037 Barcelona"
"Carrer Nou de la Ramba, 34 08001 Barcelona"
"Carrer de Sant Pau, 65 08001 Barcelona"
"Carrer de l'Allada-Vermell, 16 08003 Barcelona"
"Carrer de Mallorca, 204 08036 Barcelona"
"Carrer del Torrent d'en Vidalet, 37 08012 Barcelona"
"Carrer de la Riera de Sant Miquel, 70 08006 Barcelona"
"Carrer d'en Rauric, 9 08002 Barcelona"
"La Rambla, 81 08001 Barcelona"
"Carrer d'Evarist Arnús, 70 08014 Barcelona"
"Carrer dels Carders, 31 08003 Barcelona"
"Carrer de Casp, 22 08010 Barcelona"
"Plaça de Joan Llongueras, 5 08021 Barcelona"
"Carrer de Maria, 5 08012 Barcelona"
"Via Laietana, 19-21 08003 Barcelona"
"Carrer de Rocafort, 19 08015 Barcelona"
"Carrer de Sant Lluís,47 08012 Barcelona"
"Pla de Palau, 9 08003 Barcelona"
"Carrer del Topazi, 24 08012 Barcelona"
"Carrer de Bergara, 3 08001 Barcelona"
"Carrer del Paradis, 4 08002 Barcelona"
"Carrer dels Banys Nous, 8 08002 Barcelona"
"Carrer de Balmes, 83 08008 Barcelona"
"Carrer La Rambla, 21 08002 Barcelona"
"Carrer del Parlament, 45 08015 Barcelona"
