Address,Latitude,Longitude
"Ronda de la Universidad, 8 08007 Barcelona",41.3863435,2.1661604
"Les Rambles, 109 08002 Barcelona",41.3834673,2.1712016
"Carrer de les Sitges, 5 08001 Barcelona",41.3844287,2.1694758
"Carrer de Pau Claris, 85 08010 Barcelona",41.3898349,2.1705451
"Carrer de Pujades, 179 08005 Barcelona",41.4021082,2.2009777
"Carrer dels Tallers, 68 08001 Barcelona",41.3851398,2.1663995
"Plaça de la Sagrada Família, 4 08013 Barcelona",41.40199,2.17234
"Carrer Banys Vells, 6 08003 Barcelona",41.3845481,2.1804156
"Carrer de Santa Teresa, 1 08012 Barcelona",41.3981077,2.1597236
"Carrer Ample, 46 08002 Barcelona",41.3810215,2.1804715
"Carrer de Muntaner, 55 08011 Barcelona",41.3861988,2.1597926
"Plaça de Joaquim Xirau, s/n 08002 Barcelona",41.3784414,2.1763169
"Carrer del Bruc, 97 08009 Barcelona",41.3954605,2.1675681
"Passatge de la Banca, 5 08002 Barcelona",41.3773416,2.1771159
"Gran Via de les Corts Catalanes, 603 08007 Barcelona",41.3889715,2.1670424
"Carrer d'Aribau, 86 08036 Barcelona",41.389659,2.1580133
"Carrer de Muntaner, 114 08036 Barcelona",41.3894012,2.1561128
"Carrer de Lepant, 297 08025 Barcelona",41.4056928,2.1747612
"Plaça d'Urquinaona, 5 08010 Barcelona",41.3895989,2.1728274
"Carrer de Roger de Llúria, 42 08009 Barcelona",41.3921849,2.1703916
"Carrer del Bruc, 55 08009 Barcelona",41.3930354,2.170929
"Carrer de Lincoln, 15 08006 Barcelona",41.4002949,2.1498397
"Carrer de Ferran, 8 08002 Barcelona",41.3807055,2.1747465
"Via Laietana, 44 08002 Barcelona",41.3862145,2.175957
,,
"Carrer Provença, 424 08025 Barcelona",41.4022293,2.1718695
"Carrer de Roger de Flor, 238 08025 Barcelona",41.4015026,2.1692699
"Carrer dels Còdols, 29 08002 Barcelona",41.3793706,2.1787801
,,
"Carrer de Pau Claris, 120 08009 Barcelona",41.3923875,2.1679349
"Carrer de Còrsega, 343 08037 Barcelona",41.3979854,2.1610264
"Carrer Nou de la Ramba, 34 08001 Barcelona",41.3782501,2.1730057
"Carrer de Sant Pau, 65 08001 Barcelona",41.3783036,2.1712543
"Carrer de l'Allada-Vermell, 16 08003 Barcelona",41.3864899,2.1809302
"Carrer de Mallorca, 204 08036 Barcelona",41.3903205,2.1582052
"Carrer del Torrent d'en Vidalet, 37 08012 Barcelona",41.4046816,2.1585588
"Carrer de la Riera de Sant Miquel, 70 08006 Barcelona",41.3987163,2.1547897
"Carrer d'en Rauric, 9 08002 Barcelona",41.3810137,2.1753292
"La Rambla, 81 08001 Barcelona",41.3815068,2.172747
"Carrer d'Evarist Arnús, 70 08014 Barcelona",41.3837447,2.1368532
"Carrer dels Carders, 31 08003 Barcelona",41.3869798,2.1802789
"Carrer de Casp, 22 08010 Barcelona",41.3892607,2.1709098
"Plaça de Joan Llongueras, 5 08021 Barcelona",41.3925701,2.1412169
"Carrer de Maria, 5 08012 Barcelona",41.3991196,2.1570649
"Via Laietana, 19-21 08003 Barcelona",41.3836284,2.1788113
