,name,rating,category,neighbourhood,reviews,price_range,number_of_photos,street,postal_code
0,Scobies Irish Pub,4.5,Irish Pub,L'Eixample,26,under 11,17,"Carrer de Mallorca, 236",08008 Barcelona
1,H1898 Rooftopbar,4,Pubs,El Raval,7,[12 - 33],14,"Carrer Nou de la Rambla, 35",08001 Barcelona
2,L’Ovella Negra,4,Pubs,El Raval,78,under 11,50,"Rambla de Catalunya, 18",08007 Barcelona
3,Bobby’s Free,4.5,Pubs,L'Eixample,21,under 11,42,"Carrer de Montcada, 29",08003 Barcelona
4,Madame George,5,Lounges,Poblenou,4,under 11,35,"Carrer d'En Botella, 11",08007 Barcelona
5,Nevermind,4.5,Beer Bar,El Raval,15,under 11,26,"Carrer de Aragón, 236",08007 Barcelona
6,The Michael Collins,4,Irish Pub,L'Eixample,40,[12 - 33],47,"Carrer Del Consell de Cent, 333",08007 Barcelona
7,Bar Rubí,4.5,Spanish,"Sant Pere, Santa Caterina i la Ribera-Born",38,under 11,71,"Carrer de Sant Carles, 11",08003 Barcelona
8,Old Fashioned,5,Cocktail Bars,Gràcia,108,[12 - 33],218,"Carrer de la Unió, 17",08001 Barcelona
9,The Bollocks,4,Pubs,Barri Gòtic,18,under 11,22,"Passeig de Sant Joan, 23",08010 Barcelona
10,Biercab,4.5,Beer Bar,L'Eixample,124,under 11,215,"Passeig de Gracia, 24",08007 Barcelona
11,Flaherty’s,4,Burgers,Barri Gòtic,41,under 11,69,"Carrer del Consolat de Mar, 23",08003 Barcelona
12,Dow Jones,3.5,Pubs,L'Eixample,47,[12 - 33],56,"Carrer de Villarroel, 163",08036 Barcelona
13,El Bosc de les Fades,4,Coffee & Tea,Barri Gòtic,121,[12 - 33],100,"Carrer de Sant Pere Més Alt, 8",08003 Barcelona
14,Obama,3.5,Bars,L'Eixample,40,[12 - 33],66,"Carrer d'Enric Granados, 145",08008 Barcelona
15,Tandem,5,Cocktail Bars,L'Eixample,28,[12 - 33],53,"Carrer de la Reina Cristina, 7",08003 Barcelona
16,Hemingway,5,Cocktail Bars,L'Eixample,18,[34 - 66],45,"Carrer de Petritxol, 9",08002 Barcelona
17,Samba Brasil,4,Cocktail Bars,L'Eixample,8,[12 - 33],4,"Plaça del Dr. Letamendi, 1",08007 Barcelona
18,The George Payne,3.5,Irish Pub,L'Eixample,61,[12 - 33],40,"Calle Pau Claris, 70",08010 Barcelona
19,Snooker,4,Pubs,L'Eixample,2,[12 - 33],9,"Carrer de Blai, 17",08004 Barcelona
20,My Bar,4.5,Irish Pub,Barri Gòtic,7,[12 - 33],6,"Avenida del Paral·lel, 164",08015 Barcelona
21,Chill Bar,4.5,Tapas Bars,L'Eixample,142,under 11,213,Carrer Hospital 78,08001 Barcelona
22,JazzMan,4.5,Jazz & Blues,L'Eixample,13,[12 - 33],32,"Calle Nou de la Rambla, 20",08001 Barcelona
23,Polaroid,4,Pubs,Barri Gòtic,31,under 11,36,"Carrer de Pau Claris, 192",08037 Barcelona
24,La Cinemateca,4,Pubs,L'Eixample,6,[12 - 33],5,"Carrer de Muntaner, 103",08011 Barcelona
25,La Pepita,4.5,Tapas Bars,Gràcia,514,[12 - 33],1065,"Carrer de Còrsega, 343",08037 Barcelona
26,London Bar,4,Pubs,El Raval,14,under 11,56,"Rambla Catalunya, 33",08007 Barcelona
27,Marsella,4,Pubs,El Raval,51,under 11,55,"Consell de Cent, 335",08007 Barcelona
28,The Black Horse,4,Irish Pub,"Sant Pere, Santa Caterina i la Ribera-Born",6,[12 - 33],8,"Passatge de la Pau, 11",08002 Barcelona
29,The Philharmonic,4,Pubs,L'Eixample,14,[12 - 33],6,"Carrer de Mallorca, 257",08008 Barcelona
30,Elephanta,4.5,Pubs,Gràcia,32,[12 - 33],41,"Carrer Arc de Sant Ramon del Call, 6",08002 Barcelona
31,La Birreria,4.5,Beer Bar,Gràcia,3,under 11,5,"Carrer de Rera Palau, 4",08003 Barcelona
32,Hogan’s Australian Pub,4,Pubs,El Raval,5,[12 - 33],34,"Carrer de Roger de Llúria, 23",08010 Barcelona
33,The Black Lion,3.5,Pubs,Les Corts,6,under 11,23,"Carrer de Casanova, 155",08036 Barcelona
34,The Lime House,4,Pubs,"Sant Pere, Santa Caterina i la Ribera-Born",13,[12 - 33],11,"Carrer de Girona, 70",08009 Barcelona
35,Bonavida,4.5,Pubs,L'Eixample,10,under 11,31,"Carrer Fusina, 5",08003 Barcelona
