,name,neighbourhood,price_range,review_count,category
0,Cerveseria Catalana,L'Eixample,€€,1279,Spanish
1,My Fucking Restaurant,El Raval,€€€,89,Catalan
2,Ciutat Comtal,L'Eixample,€€,1120,Signature Cuisine
3,Tapeo,"Sant Pere, Santa Caterina i la Ribera-Born",€€,451,Tapas Bars
4,Arume,El Raval,€€,633,Spanish
5,Taquerías Tamarindo,L'Eixample,€,208,Catalan
6,Vinitus,L'Eixample,€€,304,Tapas Bars
7,Somorrostro,Barceloneta,€€,368,Catalan
8,Cañete,El Raval,€€€,392,Mediterranean
9,Firebug,L'Eixample,€€,125,Tapas Bars
10,El Nacional,L'Eixample,€€,330,Galician
11,Firebug,L'Eixample,€€,125,Mexican
12,Tucco Real Food Born,"Sant Pere, Santa Caterina i la Ribera-Born",€,618,Tapas Bars
13,Disfrutar,L'Eixample,€€€€,110,Tapas Bars
14,Tosca,"Sant Pere, Santa Caterina i la Ribera-Born",€€,240,Catalan
15,Brunch & Cake,L'Eixample,€€,852,Seafood
16,Can Paixano,"Sant Pere, Santa Caterina i la Ribera-Born",€,378,Tapas/Small Plates
17,El Pintxo de Petritxol,Barri Gòtic,€€,109,Tapas Bars
18,Boa-Bao,L'Eixample,€€€,6,Spanish
19,El Asador de Aranda,L'Eixample,€€€,28,Tapas Bars
20,El Asador de Aranda,L'Eixample,€,28,Breakfast & Brunch
21,Restaurant La Tasqueta de Blai,El Poble-sec,€€,230,Seafood
22,Telefèric,L'Eixample,€€€,178,Tapas Bars
23,Arcano,"Sant Pere, Santa Caterina i la Ribera-Born",€€€€,292,Brasseries
24,Tickets,L'Eixample,€€,195,Tapas Bars
25,El Jardín del Edén,El Raval,€,16,Breakfast & Brunch
26,Cera 23,El Raval,€€,555,Argentine
27,A Tu Bola,El Raval,€€€,79,Italian
28,Guell,El Raval,€€,64,Modern European
29,Bar Mut,L'Eixample,€€,149,Mediterranean
30,Buenos Aires,L'Eixample,€€€,55,Spanish
31,Le Romane,L'Eixample,€€,12,Tapas Bars
32,La Pepita,Gràcia,€€€,514,Breakfast & Brunch
33,Bar Mut,L'Eixample,€,149,Desserts
34,Cachitos,L'Eixample,€,98,Acai Bowls
35,2254,L'Eixample,€,62,Tapas/Small Plates
36,Federal,Barri Gòtic,€€,55,Spanish
37,A Tu Bola,El Raval,€€,79,Dive Bars
38,Lizarran,L'Eixample,€€,52,Basque
39,Momo,Barri Gòtic,€,23,Tapas Bars
40,Paradiso,"Sant Pere, Santa Caterina i la Ribera-Born",€€€,105,Tapas/Small Plates
41,Sensi,Barri Gòtic,€€,377,Cocktail Bars
42,Alsur Café,L'Eixample,€,325,Asian Fusion
43,2254,L'Eixample,€€,62,Steakhouses
44,Maitea,L'Eixample,€€€,128,Steakhouses
45,Federal,Barri Gòtic,€,55,Tapas Bars
46,Betlem,L'Eixample,€€,61,Tabernas
47,Llamber,"Sant Pere, Santa Caterina i la Ribera-Born",€€,133,Tapas/Small Plates
48,Micu Maku,L'Eixample,€€,13,Tapas/Small Plates
49,O’Toxo 3 Hermanos,El Raval,€,92,Spanish
50,Bilbao Berria,Barri Gòtic,€€,152,Tapas Bars
51,La Cuina de Laietana,Barri Gòtic,€€€,23,Spanish
52,Macchina,L'Eixample,€€€,32,Bars
53,Bo de Boqueria,El Raval,€€,15,Argentine
54,Caravelle,El Raval,€€€,223,Tapas Bars
55,La Bodegueta,L'Eixample,€€,36,Spanish
56,Raó,El Raval,€€,32,Vermouth Bars
57,Terrace la Isabela,El Raval,€,2,Tapas Bars
58,El Vaso de Oro,Barceloneta,€,178,Mediterranean
59,9 Nine,L'Eixample,€€,45,Cocktail Bars
60,Paco Alcalde,Barceloneta,€€,41,Spanish
61,Xian,Barri Gòtic,€€,11,Modern European
62,Casa Alfonso,L'Eixample,€€,108,Tapas/Small Plates
63,La Caravana,Gràcia,€,15,Fast Food
64,Mosquito,"Sant Pere, Santa Caterina i la Ribera-Born",€€,144,Tapas/Small Plates
65,Nubar,L'Eixample,€€,4,Spanish
66,Quimet & Quimet,El Poble-sec,€€,454,Wine Bars
67,La Bombeta,Barceloneta,€€,84,Tapas Bars
68,Billy Brunch,L'Eixample,€€,42,Steakhouses
69,Citizen Café,L'Eixample,€€,53,Argentine
70,Pinotxo Bar,El Raval,€,218,Italian
71,Gata Mala,Gràcia,€€,140,Tapas Bars
72,Elsa y Fred,"Sant Pere, Santa Caterina i la Ribera-Born",€€,149,Pubs
73,Flax & Kale,El Raval,€,265,Wine Bars
74,La Tagliatella,L'Eixample,€€,72,Tapas Bars
75,Milk Bar & Bistro,Barri Gòtic,€€,431,Tapas Bars
76,Eat My Trip,L'Eixample,€€€,73,Mediterranean
77,Chongqing Liuyishou Hotpot,L'Eixample,€€,5,French
78,Benzina,L'Eixample,€€€€,13,Catalan
79,El Arbol Brunch,L'Eixample,€€,39,Italian
80,Las Sorrentinas,"Sant Pere, Santa Caterina i la Ribera-Born",€€€€,44,Cafeteria
81,Eat My Trip,L'Eixample,€€,73,Modern European
82,Luigi,L'Eixample,€€,43,Tapas/Small Plates
83,Billy Brunch,L'Eixample,€€€,42,Fast Food
