0
"Carrer de Mallorca, 236 08008 Barcelona"
"Carrer Nou de la Rambla, 35 08001 Barcelona"
"Rambla de Catalunya, 18 08007 Barcelona"
"Carrer de Montcada, 29 08003 Barcelona"
"Carrer d'En Botella, 11 08007 Barcelona"
"Carrer de Aragón, 236 08007 Barcelona"
"Carrer Del Consell de Cent, 333 08007 Barcelona"
"Carrer de Sant Carles, 11 08003 Barcelona"
"Carrer de la Unió, 17 08001 Barcelona"
"Passeig de Sant Joan, 23 08010 Barcelona"
"Passeig de Gracia, 24 08007 Barcelona"
"Carrer del Consolat de Mar, 23 08003 Barcelona"
"Carrer de Villarroel, 163 08036 Barcelona"
"Carrer de Sant Pere Més Alt, 8 08003 Barcelona"
"Carrer d'Enric Granados, 145 08008 Barcelona"
"Carrer de la Reina Cristina, 7 08003 Barcelona"
"Carrer de Petritxol, 9 08002 Barcelona"
"Plaça del Dr. Letamendi, 1 08007 Barcelona"
"Calle Pau Claris, 70 08010 Barcelona"
"Carrer de Blai, 17 08004 Barcelona"
"Plaça Doctor Letamendi, 27 08007 Barcelona"
""
"Avenida del Paral·lel, 164 08015 Barcelona"
"Carrer de Jovellanos, 3 08001 Barcelona"
"Carrer de la Cera, 23 08001 Barcelona"
Carrer Hospital 78 08001 Barcelona
"Calle Nou de la Rambla, 20 08001 Barcelona"
"Carrer de Pau Claris, 192 08037 Barcelona"
"Carrer Valencia, 189 08011 Barcelona"
"Carrer de Muntaner, 103 08011 Barcelona"
"Carrer de Còrsega, 343 08037 Barcelona"
"Rambla Catalunya, 33 08007 Barcelona"
"Consell de Cent, 335 08007 Barcelona"
"Passatge de la Pau, 11 08002 Barcelona"
"Carrer de Mallorca, 257 08008 Barcelona"
"Carrer Arc de Sant Ramon del Call, 6 08002 Barcelona"
"Carrer de Rera Palau, 4 08003 Barcelona"
""
"Carrer de Roger de Llúria, 23 08010 Barcelona"
"Carrer de Casanova, 155 08036 Barcelona"
"Carrer de Girona, 70 08009 Barcelona"
"Carrer Fusina, 5 08003 Barcelona"
"Carrer d'Aribau, 22 08011 Barcelona"
"Carrer del Carme, 59 08001 Barcelona"
"Plaça Nova, 3 08002 Barcelona"
"Via Laietana, 71 08003 Barcelona"
"Carrer d'Astúries, 17 08012 Barcelona"
"Carrer Petxina, 5-7 08001 Barcelona"
"Carrer del Pintor Fortuny, 31 08001 Barcelona"
"Rambla de Catalunya, 100 08002 Barcelona"
"Carrer de les Sitges, 3 08001 Barcelona"
"Les Rambles, 109 08002 Barcelona"
"Carrer de Balboa, 6 08003 Barcelona"
"Carrer València, 334 08009 Barcelona"
"Carrer de l'Almirall Aixada, 12 08003 Barcelona"
""
"Carrer de Roger de Llúria, 6 08010 Barcelona"
"Carrer de Mozart, 15 08012 Barcelona"
"Carrer dels Carders, 46 08003 Barcelona"
"Passeig de Gràcia, 53 08007 Barcelona"
"Carrer del Poeta Cabanyes, 25 08004 Barcelona"
"Carrer de la Maquinista, 3 08003 Barcelona"
"Carrer de Bailèn, 115 08009 Barcelona"
"Plaça d'Urquinaona, 4 08010 Barcelona"
"La Rambla, 91 08002 Barcelona"
"Carrer de Rabassa, 37 08024 Barcelona"
"Carrer del Rec Comtal, 11 08003 Barcelona"
"Carrer dels Tallers, 74 08001 Barcelona"
"Carrer de Pau Claris, 118 08009 Barcelona"
"Carrer d'en Gignàs, 21 08002 Barcelona"
"Carrer del Consell de Cent, 378 08009 Barcelona"
"Carrer del Consell de Cent, 303 08007 Barcelona"
"Passatge de Pere Calders, 6 08015 Barcelona"
"Carrer d' Aribau, 36 08011 Barcelona"
"Plaça de Sant Pere, 5 08003 Barcelona"
"Carrer de Roger de Llúria, 50 08009 Barcelona"
"Carrer d'Ali Bei, 65 08013 Barcelona"
""
"Via Laietana, 46 08003 Barcelona"
"Passatge de Simó, 18 08025 Barcelona"
"Carrer de Pau Claris, 139 08009 Barcelona"
"Passatge de Simó, 18 08025 Barcelona"
""
"Carrer de Sant Domenec del Call, 14 08002 Barcelona"
""
""
""
"Carrer de Santa Anna, 20 08002 Barcelona"
"Carrer Tantarantana, 24 08003 Barcelona"
"Passatge de Domingo, 3 08007 Barcelona"
"Carrer de les Carretes, 44 08001 Barcelona"
""
"Carrer Gran de Gràcia, 81 08012 Barcelona"
"Avinguda del Paraŀlel, 184 08015 Barcelona"
""
"Carrer del Pi, 16 08002 Barcelona"
"Carrer del Rosselló, 164 08036 Barcelona"
"Carrer de Ramon Turró, 13 08005 Barcelona"
"Carrer de Roger de Llúria, 87 08009 Barcelona"
"Carrer del Consell de Cent, 338 08009 Barcelona"
"Carrer de Provença, 243 08008 Barcelona"
"Carrer de Montcada, 22 08003 Barcelona"
"Carrer de Sant Domènec del Call, 4 08002 Barcelona"
"Carrer Cremat Gran, 11 08003 Barcelona"
"Passeig de Colom, 20 08002 Barcelona"
"Carrer Creu Coberta, 58 08014 Barcelona"
"Carrer de Girona, 17 08010 Barcelona"
"Carrer d'Aragó, 231 08007 Barcelona"
"Carrer de Verdaguer i Callís, 4 08003 Barcelona"
"Carrer del Consell de Cent, 313 08007 Barcelona"
"Carrer Vila i Vila, 77 08004 Barcelona"
"Carrer de Montcada, 22 08003 Barcelona"
"Ronda de la Universitat, 20 08007 Barcelona"
"Carrer de la Ribera, 18 08003 Barcelona"
"Passatge de Simó, 18 08025 Barcelona"
"Carrer del Torrent de les Flors, 71 08024 Barcelona"
"Carrer de Casp, 22 08010 Barcelona"
"Carrer de Girona, 162 08037 Barcelona"
""
"Carrer de l'Argenteria, 62 08003 Barcelona"
"Carrer del Carme, 40 08001 Barcelona"
"Carrer Banys Vells, 6 08003 Barcelona"
"Carrer Aribau, 91 08036 Barcelona"
"Travessera de Grácia, 441 08025 Barcelona"
"Carrer de la Mercè, 28 08002 Barcelona"
"Carrer Valencia, 143 08011 Barcelona"
""
"Carrer d'Aragó, 310 08009 Barcelona"
"Carrer Roger de Flor, 303 08025 Barcelona"
"Carrer de Rocafort, 70 08015 Barcelona"
"Carrer de San Pau, 4 08001 Barcelona"
"Carrer de Bonavista, 8 08012 Barcelona"
"Carrer de Jerusalem, 6 08001 Barcelona"
"Carrer de l'Elisi, 13 08014 Barcelona"
"Plaça del Sol, 21 08012 Barcelona"
"Paseo Juan de Borbón, 69 08003 Barcelona"
"Carrer de Mallorca, 275 08008 Barcelona"
"Carrer d'Enric Granados, 145 08008 Barcelona"
"Carrer de Mare de Deu del Remei, 53 08004 Barcelona"
"Carrer de la Palma de Sant Just, 7 08002 Barcelona"
"Passeig de Gracia, 68 08007 Barcelona"
"Carrer d'Aribau, 137 08036 Barcelona"
"Carrer de Provença, 237 08008 Barcelona"
"Rambla de Catalunya, 79 08007 Barcelona"
""
"Carrer d'Entença, 2 08015 Barcelona"
"Calle del Carme, 19 08001 Barcelona"
"Carrer de Pau Claris, 142 08009 Barcelona"
"Carrer de la Marina, 19 - 21 08005 Barcelona"
"Carrer dels Sombrerers, 7 08003 Barcelona"
"Carrer d'Astúries, 17 08012 Barcelona"
"Carrer de l'Almirall Churruca, 4 08003 Barcelona"
"Carrer Carders, 6 08003 Barcelona"
"Carrer de la Llibreteria, 10 08002 Barcelona"
"Carrer de la Plata, 4 08002 Barcelona"
Carrer de Verdaguer i Callís 9 08003 Barcelona
"Rambla de  Catalunya, 91 08008 Barcelona"
"Carrer de Doctor Fleming, 10 08017 Barcelona"
"Carrer del Parlament, 54 08015 Barcelona"
"Gran Via de les Corts Catalanes, 688 08010 Barcelona"
"Carrer de València, 267 08007 Barcelona"
""
"Rambla de Catalunya, 3 08007 Barcelona"
"Carrer de Sant Antoni dels Sombrerers, 3 08003 Barcelona"
"Passeig Marítim de la Barceloneta, 32 08003 Barcelona"
"Avinguda de Rius i Taulet, 1-3 08004 Barcelona"
"Gran Via de les Corts Catalanes, 618 08007 Barcelona"
"La Rambla del Estudis, 115 08002 Barcelona"
"Carrer d'Aragó, 214 08011 Barcelona"
"Carrer del Baluard, 56 08003 Barcelona"
"Carrer de Mallorca, 251 08008 Barcelona"
"Plaça Santa Caterina, 1 08003 Barcelona"
"Carrer de Viladomat, 131 08015 Barcelona"
"Carrer del Parlament, 53 08015 Barcelona"
"Carrer dels Tiradors, 3-5 08003 Barcelona"
"Passeig de Gràcia, 73 08008 Barcelona"
"Carrer d'Aribau, 125 08036 Barcelona"
"Carrer del Consell de Cent, 465 08013 Barcelona"
"Carrer Minerva, 8 08006 Barcelona"
"Carrer de Jaume I, 8-10 08002 Barcelona"
"Carrer del Consolat de Mar, 15 08003 Barcelona"
"Carrer de la Diputació, 321 08009 Barcelona"
""
"Carrer de València, 352 08009 Barcelona"
"Carrer del Comte Borrell, 81 08015 Barcelona"
"Carrer de Viladomat, 138 08015 Barcelona"
"Carrer d'Entença, 57 08015 Barcelona"
"Carrer de Balmes, 106 08008 Barcelona"
"Carrer d'Avinyó, 30 08002 Barcelona"
"Carrer de Montcada, 2 08003 Barcelona"
"Carrer d'Elisabets, 2 08001 Barcelona"
"Passeig de Joan de Borbó, 101 08039 Barcelona"
"Carrer de Consell de Cent, 308 08007 Barcelona"
"Carrer de la Princesa, 23 08003 Barcelona"
"Carrer de Valencia, 227 08007 Barcelona"
"Carrer del Comte Borrell, 119 08015 Barcelona"
"Carrer de Sant Pau, 110 08001 Barcelona"
"Gran Via de les Corts Catalanes, 667 08010 Barcelona"
"Carrer Nou de la Rambla, 105 08001 Barcelona"
"Rambla de Catalunya, 12 08007 Barcelona"
"Carrer de Pau Claris, 190 08037 Barcelona"
"Avinguda Diagonal, 465 08036 Barcelona"
"Carrer de la Diputació, 375 08013 Barcelona"
"Carrer de la Diputació, 269 08007 Barcelona"
"Carrer del Rosselló, 253 08008 Barcelona"
"Carrer del Consell de Cent, 339 08007 Barcelona"
"Carrer de Tamarit, 142 08015 Barcelona"
"Carrer de Ramon Trias Fargas, 2 08005 Barcelona"
"Via Laietana, 32 08003 Barcelona"
"Carrer de València, 163 08011 Barcelona"
"Carrer de Muntaner, 66 08011 Barcelona"
