Address,Latitude,Longitude
"Carrer de Mallorca, 236 08008 Barcelona",41.392402,2.160929
"Carrer Nou de la Rambla, 35 08001 Barcelona",41.3777649,2.1731434
"Rambla de Catalunya, 18 08007 Barcelona",41.388946,2.1668409
"Carrer de Montcada, 29 08003 Barcelona",41.3845803,2.1817378
"Carrer d'En Botella, 11 08007 Barcelona",41.3789617,2.1659756
"Carrer de Aragón, 236 08007 Barcelona",41.3898982,2.162191
"Carrer Del Consell de Cent, 333 08007 Barcelona",41.3900278,2.164035
"Carrer de Sant Carles, 11 08003 Barcelona",41.3791445,2.1890523
"Carrer de la Unió, 17 08001 Barcelona",41.3790152,2.173242
"Passeig de Sant Joan, 23 08010 Barcelona",41.3927372,2.1778443
"Passeig de Gracia, 24 08007 Barcelona",41.3903065,2.1680629
"Carrer del Consolat de Mar, 23 08003 Barcelona",41.3823242,2.1819703
"Carrer de Villarroel, 163 08036 Barcelona",41.3877605,2.1531961
"Carrer de Sant Pere Més Alt, 8 08003 Barcelona",41.3873904,2.1756394
"Carrer d'Enric Granados, 145 08008 Barcelona",41.3942674,2.1536372
"Carrer de la Reina Cristina, 7 08003 Barcelona",41.381799,2.1834196
"Carrer de Petritxol, 9 08002 Barcelona",41.3827508,2.173148
"Plaça del Dr. Letamendi, 1 08007 Barcelona",41.3885623,2.1606934
"Calle Pau Claris, 70 08010 Barcelona",41.3893173,2.1720615
"Carrer de Blai, 17 08004 Barcelona",41.3733022,2.1653446
"Plaça Doctor Letamendi, 27 08007 Barcelona",41.389783,2.1607957
,,
"Avenida del Paral·lel, 164 08015 Barcelona",41.3753194,2.1568268
"Carrer de Jovellanos, 3 08001 Barcelona",41.3851722,2.1678005
"Carrer de la Cera, 23 08001 Barcelona",41.3788316,2.1663515
Carrer Hospital 78 08001 Barcelona,41.3801216,2.1689582
"Calle Nou de la Rambla, 20 08001 Barcelona",41.3786657,2.1737371
"Carrer de Pau Claris, 192 08037 Barcelona",41.3973097,2.1612477
"Carrer Valencia, 189 08011 Barcelona",41.3894519,2.1586273
"Carrer de Muntaner, 103 08011 Barcelona",41.3887897,2.15636
"Carrer de Còrsega, 343 08037 Barcelona",41.3979854,2.1610264
"Rambla Catalunya, 33 08007 Barcelona",41.3895111,2.1652823
"Consell de Cent, 335 08007 Barcelona",41.3900975,2.1641818
"Passatge de la Pau, 11 08002 Barcelona",41.3779525,2.1777847
"Carrer de Mallorca, 257 08008 Barcelona",41.3934546,2.1618641
"Carrer Arc de Sant Ramon del Call, 6 08002 Barcelona",41.3823578,2.1756189
"Carrer de Rera Palau, 4 08003 Barcelona",41.3836305,2.1836644
,,
"Carrer de Roger de Llúria, 23 08010 Barcelona",41.3911582,2.1711796
"Carrer de Casanova, 155 08036 Barcelona",41.3909822,2.1510644
"Carrer de Girona, 70 08009 Barcelona",41.3949922,2.1712151
"Carrer Fusina, 5 08003 Barcelona",41.3863924,2.1829845
