name,rating,reviews,price_range,street,postal_code,nb_photos,Latitude,Longitude
Scobies Irish Pub,4.5,26.0,under 11,"Ronda de la Universidad, 8",08007 Barcelona,17,41.3863435,2.1661604
H1898 Rooftopbar,4.0,7.0,[12 - 33],"Les Rambles, 109",08002 Barcelona,14,41.38346729999999,2.1712016
L’Ovella Negra,4.0,78.0,under 11,"Carrer de les Sitges, 5",08001 Barcelona,50,41.3844287,2.1694758
Bobby’s Free,4.5,21.0,under 11,"Carrer de Pau Claris, 85",08010 Barcelona,42,41.3898349,2.1705451
Madame George,5.0,4.0,under 11,"Carrer de Pujades, 179",08005 Barcelona,35,41.40210820000001,2.2009777
Nevermind,4.5,15.0,under 11,"Carrer dels Tallers, 68",08001 Barcelona,26,41.3851398,2.1663995
The Michael Collins,4.0,40.0,[12 - 33],"Plaça de la Sagrada Família, 4",08013 Barcelona,47,41.401990000000005,2.17234
Bar Rubí,4.5,38.0,under 11,"Carrer Banys Vells, 6",08003 Barcelona,71,41.3845481,2.1804156000000003
Old Fashioned,5.0,108.0,[12 - 33],"Carrer de Santa Teresa, 1",08012 Barcelona,218,41.398107700000004,2.1597236
The Bollocks,4.0,18.0,under 11,"Carrer Ample, 46",08002 Barcelona,22,41.3810215,2.1804715
Biercab,4.5,124.0,under 11,"Carrer de Muntaner, 55",08011 Barcelona,215,41.386198799999995,2.1597926
Flaherty’s,4.0,41.0,under 11,"Plaça de Joaquim Xirau, s/n",08002 Barcelona,69,41.3784414,2.1763168999999998
Dow Jones,3.5,47.0,[12 - 33],"Carrer del Bruc, 97",08009 Barcelona,56,41.3954605,2.1675681
El Bosc de les Fades,4.0,121.0,[12 - 33],"Passatge de la Banca, 5",08002 Barcelona,100,41.3773416,2.1771159
Obama,3.5,40.0,[12 - 33],"Gran Via de les Corts Catalanes, 603",08007 Barcelona,66,41.388971500000004,2.1670423999999997
Tandem,5.0,28.0,[12 - 33],"Carrer d'Aribau, 86",08036 Barcelona,53,41.389659,2.1580133
Hemingway,5.0,18.0,[34 - 66],"Carrer de Muntaner, 114",08036 Barcelona,45,41.3894012,2.1561128
Samba Brasil,4.0,8.0,[12 - 33],"Carrer de Lepant, 297",08025 Barcelona,4,41.4056928,2.1747612000000003
The George Payne,3.5,61.0,[12 - 33],"Plaça d'Urquinaona, 5",08010 Barcelona,40,41.3895989,2.1728273999999996
Snooker,4.0,2.0,[12 - 33],"Carrer de Roger de Llúria, 42",08009 Barcelona,9,41.3921849,2.1703916000000003
Limerick,4.0,2.0,,"Carrer del Bruc, 55",08009 Barcelona,6,41.3930354,2.170929
Otto Zutz,3.5,50.0,[12 - 33],"Carrer de Lincoln, 15",08006 Barcelona,18,41.4002949,2.1498397000000002
My Bar,4.5,7.0,[12 - 33],"Carrer de Ferran, 8",08002 Barcelona,6,41.3807055,2.1747465
McCarthy’s,4.0,4.0,,"Via Laietana, 44",08002 Barcelona,,41.3862145,2.175957
Garage Beer Co,4.5,43.0,under 11,,,,,
Chill Bar,4.5,142.0,under 11,"Carrer Provença, 424",08025 Barcelona,213,41.402229299999995,2.1718695
JazzMan,4.5,13.0,[12 - 33],"Carrer de Roger de Flor, 238",08025 Barcelona,32,41.4015026,2.1692699
Polaroid,4.0,31.0,under 11,"Carrer dels Còdols, 29",08002 Barcelona,36,41.3793706,2.1787801
George & Dragon,3.5,2.0,[34 - 66],,,,,
La Cinemateca,4.0,6.0,[12 - 33],"Carrer de Pau Claris, 120",08009 Barcelona,5,41.3923875,2.1679348999999997
La Pepita,4.5,514.0,[12 - 33],"Carrer de Còrsega, 343",08037 Barcelona,1065,41.397985399999996,2.1610264
London Bar,4.0,14.0,under 11,"Carrer Nou de la Ramba, 34",08001 Barcelona,56,41.3782501,2.1730057
Marsella,4.0,51.0,under 11,"Carrer de Sant Pau, 65",08001 Barcelona,55,41.3783036,2.1712542999999997
The Black Horse,4.0,6.0,[12 - 33],"Carrer de l'Allada-Vermell, 16",08003 Barcelona,8,41.3864899,2.1809302
The Philharmonic,4.0,14.0,[12 - 33],"Carrer de Mallorca, 204",08036 Barcelona,6,41.3903205,2.1582052000000003
Elephanta,4.5,32.0,[12 - 33],"Carrer del Torrent d'en Vidalet, 37",08012 Barcelona,41,41.404681599999996,2.1585587999999998
La Birreria,4.5,3.0,under 11,"Carrer de la Riera de Sant Miquel, 70",08006 Barcelona,5,41.3987163,2.1547897000000003
First Bar,4.5,7.0,under 11,"Carrer d'en Rauric, 9",08002 Barcelona,21,41.381013700000004,2.1753292
Hogan’s Australian Pub,4.0,5.0,[12 - 33],"La Rambla, 81",08001 Barcelona,34,41.3815068,2.172747
The Black Lion,3.5,6.0,under 11,"Carrer d'Evarist Arnús, 70",08014 Barcelona,23,41.3837447,2.1368532000000005
The Lime House,4.0,13.0,[12 - 33],"Carrer dels Carders, 31",08003 Barcelona,11,41.38697979999999,2.1802789000000002
Bonavida,4.5,10.0,under 11,"Carrer de Casp, 22",08010 Barcelona,31,41.3892607,2.1709098
Dublin Sports,3.5,9.0,[12 - 33],"Plaça de Joan Llongueras, 5",08021 Barcelona,7,41.3925701,2.1412169
Musical María,4.5,8.0,[12 - 33],"Carrer de Maria, 5",08012 Barcelona,5,41.3991196,2.1570649
Dunne’s Irish Bar,3.5,36.0,[12 - 33],"Via Laietana, 19-21",08003 Barcelona,17,41.3836284,2.1788112999999996
Xixbar,4.5,26.0,[12 - 33],"Carrer de Rocafort, 19",08015 Barcelona,199,41.375862899999994,2.1575806
Gato Negro,4.5,5.0,under 11,"Carrer de Sant Lluís,47",08012 Barcelona,20,41.405544299999995,2.1602661
Lennox,4.0,4.0,,"Pla de Palau, 9",08003 Barcelona,9,41.38343,2.182974
Le Standard,4.5,3.0,,"Carrer del Topazi, 24",08012 Barcelona,,41.405041,2.1548844
Belushi’s,3.5,20.0,under 11,"Carrer de Bergara, 3",08001 Barcelona,26,41.3862122,2.1676278
Craft Barcelona,4.0,20.0,under 11,"Carrer del Paradis, 4",08002 Barcelona,45,41.383127200000004,2.1770162999999996
Stoke Bar,4.0,31.0,[12 - 33],"Carrer dels Banys Nous, 8",08002 Barcelona,36,41.382205299999995,2.1751533
Fizz Barcelona,4.5,3.0,,"Carrer de Balmes, 83",08008 Barcelona,,41.3909588,2.1601461
Bloomsday Irish Pub,5.0,3.0,,"Carrer La Rambla, 21",08002 Barcelona,4,41.3782693,2.1735967
Barna Brew,4.5,5.0,under 11,"Carrer del Parlament, 45",08015 Barcelona,14,41.3773201,2.1634919
Pippermint,3.0,11.0,[12 - 33],"Carrer de Borí i Fonestà, 20",08021 Barcelona,31,41.393204299999994,2.1388967
Obama Gastropub,3.5,13.0,,"Carrer Bruniquer, 30",08012 Barcelona,8,41.4046854,2.1608417999999996
Oviso,4.0,64.0,under 11,"Carrer d'Arai, 5",08002 Barcelona,70,41.3806737,2.177006
Touch Music Karaoke,4.5,8.0,[12 - 33],"Carrer de Joan Miró, 8",08005 Barcelona,38,41.389351899999994,2.1966186000000003
Sor Rita,4.5,22.0,under 11,"Carrer de La Mercé, 27",08002 Barcelona,51,41.3809662,2.1808584
La Barrica,3.0,1.0,under 11,"Carrer Concell de Cent, 313",08007 Barcelona,15,41.38931779999999,2.1631522999999997
Arcano,4.5,292.0,[34 - 66],"Carrer dels Mercaders, 10",08003 Barcelona,555,41.3849882,2.1787213
Bar Zodiaco,4.0,19.0,under 11,"Carrer de Margarit, 17",08004 Barcelona,25,41.3738717,2.1637896
Big Bang Bar,4.0,10.0,under 11,"Carrer Botella, 7",08001 Barcelona,43,41.3791394,2.1661116000000002
Maestró,4.0,33.0,[12 - 33],"Rambla de Catalunya, 79",08007 Barcelona,119,41.391875399999996,2.1618703
Belchica,3.5,8.0,[12 - 33],"Carrer de Villarroel, 60",08011 Barcelona,23,41.383618799999994,2.1592604
Xpressing Underground Club,4.0,1.0,[12 - 33],"Carrer de Balmes, 69",08007 Barcelona,9,41.3901884,2.1610836
Lunatic,4.5,5.0,[12 - 33],"Carrer Regent Mendieta, 38",08028 Barcelona,9,41.3773903,2.1235993
Temple Bar,3.5,21.0,under 11,"Carrer de Ferran, 6",08002 Barcelona,29,41.380461100000005,2.1745261
Ina,4.5,6.0,under 11,"Carrer dels Carders, 44",08003 Barcelona,10,41.3872992,2.1805519
Espai d’Art Tinta Roja,3.5,9.0,[12 - 33],"Carrer de la Creu dels  Molers, 17",,11,,
Flann O’Brien,3.5,3.0,under 11,"Carrer de Casanova, 264",08021 Barcelona,,41.3941973,2.1474992000000004
Mojito Rock,4.0,11.0,under 11,"Carrer Valldonzella, 30",08001 Barcelona,5,41.383731899999994,2.1652883999999997
Never More,5.0,1.0,,"Carrer de la Cera, 17",08001 Barcelona,7,41.3790167,2.1663843999999997
Mingus,4.0,15.0,[12 - 33],"Carrer de la Comtessa de Sobradel, 9",08002 Barcelona,15,41.381336100000006,2.1782909
Black Lab,4.0,83.0,[12 - 33],"Plaça Pau Vila, 1",08039 Barcelona,172,41.380834899999996,2.1856482999999995
Pepe Bar,5.0,1.0,,"Calle Pelai, 40",08001 Barcelona,,41.3855094,2.167551
La Concha Barcelona,4.5,8.0,under 11,"Carrer de Guàrdia, 14",08001 Barcelona,10,41.3774997,2.1740696
Stereo,4.5,2.0,under 11,"Calle Nou de la Rambla, 119",08004 Barcelona,11,41.3738672,2.1690888999999998
Vicente Emilio Barcelona Villen,5.0,1.0,,Calle de la Marina 261,08025 Barcelona,,41.40475,2.1739535
Ryans Beach,4.0,1.0,,"Carrer del Judici, 15",08003 Barcelona,,41.376751899999995,2.190342
Bar Ardevol,4.0,8.0,[12 - 33],,,,,
Two Schmucks,5.0,17.0,[12 - 33],"Carrer de Joaquin Costa, 52",08001 Barcelona,29,41.3831899,2.1652514
Bernie’s,4.0,40.0,[12 - 33],"Via Laietana, 20",08003 Barcelona,121,41.384036200000004,2.1791261000000004
Bonobo,4.0,4.0,,"Carrer de Santa Rosa, 14",08012 Barcelona,5,41.4030864,2.1532548
Veronica Griselda Villafan Zea,5.0,1.0,,Calle Comtes de Bell Lloc 172,08014 Barcelona,,41.3828107,2.1359043
cactus bar,4.0,1.0,[34 - 66],jaume1,08002 Barcelona,,41.3833362,2.1779731
absentha,4.0,3.0,,carrer de sant carles,Barcelona,7,41.3793049,2.1900166000000003
Bodega,5.0,5.0,under 11,"Carrer dels Mirallers, 15",08003 Barcelona,11,41.3838512,2.181632
El Vaso de Oro,4.5,178.0,[12 - 33],"Carrer de Balboa, 6",08003 Barcelona,359,41.381854100000005,2.1873102
La Catedra,4.5,3.0,[12 - 33],Gran Via de les Corts Catalanes 578,,9,,
Cheers,3.0,16.0,under 11,"Carrer Santa Mónica, 2",08001 Barcelona,4,41.3775376,2.1753737999999996
Belice Cocktail Bar,5.0,2.0,[12 - 33],"Carrer de Santaló, 36",08021 Barcelona,8,41.3956564,2.1459474999999997
Bodega Saltó,4.0,15.0,under 11,"Carrer de Blesa, 36",08004 Barcelona,11,41.37278010000001,2.1671862999999996
La Cervesera Artesana,4.0,37.0,[12 - 33],"Carrer de Sant Agustí, 14",08012 Barcelona,34,41.398154299999995,2.1608245
Ale&Hop,4.5,43.0,under 11,"Carrer de les Basses de Sant Pere, 10",08003 Barcelona,106,41.3885955,2.1801379
Hendrix,4.5,2.0,under 11,"Travessera de Gràcia, 86",08006 Barcelona,9,41.3977625,2.1523596
Sonora,3.0,20.0,under 11,"Carrer de Pamplona, 96",08018 Barcelona,21,41.3979343,2.1901080000000004
Ya lo sabes,4.0,1.0,,Diputació  340,08011 Barcelona,,41.3961842,2.1750943
The Cottage,5.0,1.0,,,,,,
Kentucky,4.0,13.0,[12 - 33],"Carrer de l'Arc del Teatre, 11",08001 Barcelona,15,41.377696500000006,2.1747397
Hell Awaits,4.0,2.0,,"Carrer de les Tàpies, 21",08001 Barcelona,8,41.3756323,2.1702974999999998
Pepe’s Bar,3.5,4.0,under 11,"Carrer de Pamplona, 91",08018 Barcelona,,41.3967448,2.1909528999999996
New York Café,4.0,1.0,under 11,"Carrer de Diputacio, 88",08015 Barcelona,,41.3806826,2.1543452000000003
Enigma,4.0,1.0,,"Carrer del Taquígraf Garriga, 106",08029 Barcelona,,41.388436999999996,2.1364981
El Pony,4.0,7.0,,"Carrer del Portal Nou, 23",08003 Barcelona,,41.388755100000004,2.1806134999999998
Dirty Dick’s,2.5,2.0,,,,,,
Irish Sailing Pub,3.5,2.0,[12 - 33],Moll de Mestral 26,08005 Barcelona,,41.38687720000001,2.1981182
Bloody Mary,4.5,9.0,[12 - 33],"Carrer de Ferrer de Blanes, 3",08012 Barcelona,54,41.3983223,2.1591262
Paspartú,5.0,10.0,[12 - 33],"Carrer de les Basses de Sant Pere, 12-14",08003 Barcelona,8,41.388673600000004,2.1799797
Kahiki,2.5,7.0,[34 - 66],"Gran Via de les Corts Catalanes, 581",08011 Barcelona,7,41.3855248,2.1623904
Zim,4.5,10.0,[12 - 33],"Carrer de la Dagueria, 20",08002 Barcelona,5,41.38305689999999,2.1783083999999997
Cervecería Jazz,4.5,10.0,[34 - 66],"Carrer de Margarit, 43",08004 Barcelona,13,41.3722673,2.1632328999999997
Bubblic,4.0,5.0,[12 - 33],"Carrer de Marià Cubí, 183",08021 Barcelona,8,41.395345,2.1448593
Elephant,4.0,8.0,[34 - 66],"Carrer de Pau Claris, 92",08010 Barcelona,,41.390243100000006,2.1706795
Rocksound,4.5,2.0,[12 - 33],"Carrer de Almogàvers, 116",08018 Barcelona,,41.397068,2.1904152000000003
Koitton Club,4.5,2.0,[12 - 33],"Carrer de Rossend Arús, 9",08014 Barcelona,4,41.3737059,2.1374671000000003
Bobby Gin,4.5,54.0,[12 - 33],"Carrer de Francisco Giner, 47",08012 Barcelona,77,41.3996972,2.1582915000000003
Filomena,4.5,7.0,[12 - 33],"Carrer d'Aldana, 8",08015 Barcelona,36,41.37561420000001,2.1663035
Woody Bar,4.0,5.0,,"Plaça del Sol, 7-8",08012 Barcelona,,41.4017726,2.1570201
The End,4.0,1.0,,"Carrer de Santaló, 34",08021 Barcelona,,41.39559620000001,2.1460055000000002
La Principal,3.5,16.0,under 11,"Carrer de Sepúlveda, 186",08011 Barcelona,41,41.383578,2.1631779
Tequila 44,4.0,12.0,[12 - 33],"Carrer dels Escudellers, 28",08002 Barcelona,23,41.379928799999995,2.1767621
Insòlita Gea,4.5,18.0,,"Carrer Sant Antoni Maria Claret, 220",08025 Barcelona,62,41.4111936,2.1746214
Blondie,5.0,1.0,[12 - 33],"Carrer d'en Roca, 14",08002 Barcelona,,41.3823851,2.1729732000000004
Set Barcelona,5.0,1.0,,"Calle Enamorats, 90",08026 Barcelona,8,41.406341499999996,2.1833251000000002
Coctelería Cooler,4.0,12.0,[12 - 33],"Carrer de Mallorca, 196",08036 Barcelona,40,41.390014,2.1578597999999998
El Rouge,4.0,4.0,[34 - 66],"Carrer del Poeta Cabanyes, 21",08004 Barcelona,9,41.3740988,2.1657277
Inch Bar,4.5,11.0,under 11,"Carrer de I'Escorial, 117",08024 Barcelona,11,41.4083746,2.1601789
Bar International Beer,2.5,16.0,under 11,"Carrer del Cardenal Casanas, 4",08002 Barcelona,30,41.3815434,2.1735203
Bongo’s,5.0,1.0,,"Moll del Gregal, 1-3",08005 Barcelona,,41.389156899999996,2.2005147000000003
Marula Café,4.0,18.0,[12 - 33],"Carrer dels Escudellers, 49",08002 Barcelona,17,41.3801125,2.1767965
