name,rating,reviews,price_range,location,street,postal_code,Latitude,Longitude
Cerveseria Catalana,4.5,1279.0,[12 - 33],"Carrer de Mallorca, 236::08008 Barcelona::Spain","Carrer de Mallorca, 236",08008 Barcelona,41.392402000000004,2.160929
My Fucking Restaurant,4.5,89.0,[34 - 66],"Carrer Nou de la Rambla, 35::08001 Barcelona::Spain","Carrer Nou de la Rambla, 35",08001 Barcelona,41.377764899999995,2.1731434
Ciutat Comtal,4.0,1120.0,[12 - 33],"Rambla de Catalunya, 18::08007 Barcelona::Spain","Rambla de Catalunya, 18",08007 Barcelona,41.388946000000004,2.1668409
Tapeo,4.5,451.0,[12 - 33],"Carrer de Montcada, 29::08003 Barcelona::Spain","Carrer de Montcada, 29",08003 Barcelona,41.384580299999996,2.1817377999999996
Arume,4.5,633.0,[12 - 33],"Carrer d'En Botella, 11::08007 Barcelona::Spain","Carrer d'En Botella, 11",08007 Barcelona,41.378961700000005,2.1659756000000003
Taquerías Tamarindo,4.5,208.0,under 11,"Carrer de Aragón, 236::08007 Barcelona::Spain","Carrer de Aragón, 236",08007 Barcelona,41.389898200000005,2.162191
Vinitus,4.5,304.0,[12 - 33],"Carrer Del Consell de Cent, 333::08007 Barcelona::Spain","Carrer Del Consell de Cent, 333",08007 Barcelona,41.3900278,2.1640349999999997
Somorrostro,4.5,368.0,[12 - 33],"Carrer de Sant Carles, 11::08003 Barcelona::Spain","Carrer de Sant Carles, 11",08003 Barcelona,41.3791445,2.1890522999999997
Cañete,4.5,392.0,[34 - 66],"Carrer de la Unió, 17::08001 Barcelona::Spain","Carrer de la Unió, 17",08001 Barcelona,41.3790152,2.1732419999999997
Firebug,4.5,125.0,[12 - 33],"Passeig de Sant Joan, 23::08010 Barcelona::Spain","Passeig de Sant Joan, 23",08010 Barcelona,41.392737200000006,2.1778443
El Nacional,4.0,330.0,[12 - 33],"Passeig de Gracia, 24::08007 Barcelona::Spain","Passeig de Gracia, 24",08007 Barcelona,41.3903065,2.1680629000000002
Tucco Real Food Born,4.5,618.0,under 11,"Carrer del Consolat de Mar, 23::08003 Barcelona::Spain","Carrer del Consolat de Mar, 23",08003 Barcelona,41.3823242,2.1819702999999997
Disfrutar,5.0,110.0,over 67,"Carrer de Villarroel, 163::08036 Barcelona::Spain","Carrer de Villarroel, 163",08036 Barcelona,41.3877605,2.1531960999999997
Tosca,4.5,240.0,[12 - 33],"Carrer de Sant Pere Més Alt, 8::08003 Barcelona::Spain","Carrer de Sant Pere Més Alt, 8",08003 Barcelona,41.3873904,2.1756394
Brunch & Cake,4.0,852.0,[12 - 33],"Carrer d'Enric Granados, 145::08008 Barcelona::Spain","Carrer d'Enric Granados, 145",08008 Barcelona,41.3942674,2.1536372000000004
Can Paixano,4.5,378.0,under 11,"Carrer de la Reina Cristina, 7::08003 Barcelona::Spain","Carrer de la Reina Cristina, 7",08003 Barcelona,41.381799,2.1834196
El Pintxo de Petritxol,4.5,109.0,[12 - 33],"Carrer de Petritxol, 9::08002 Barcelona::Spain","Carrer de Petritxol, 9",08002 Barcelona,41.3827508,2.173148
Boa-Bao,4.5,6.0,,"Plaça del Dr. Letamendi, 1::08007 Barcelona::Spain","Plaça del Dr. Letamendi, 1",08007 Barcelona,41.3885623,2.1606933999999995
El Asador de Aranda,4.5,28.0,[34 - 66],"Calle Pau Claris, 70::08010 Barcelona::Spain","Calle Pau Claris, 70",08010 Barcelona,41.389317299999995,2.1720615000000003
Restaurant La Tasqueta de Blai,4.5,230.0,under 11,"Carrer de Blai, 17::08004 Barcelona::Spain","Carrer de Blai, 17",08004 Barcelona,41.373302200000005,2.1653446
Telefèric,4.0,178.0,[12 - 33],"Plaça Doctor Letamendi, 27::08007 Barcelona::Spain","Plaça Doctor Letamendi, 27",08007 Barcelona,41.389783,2.1607957000000004
Arcano,4.5,292.0,[34 - 66],,,,,
Tickets,4.5,195.0,over 67,"Avenida del Paral·lel, 164::08015 Barcelona::Spain","Avenida del Paral·lel, 164",08015 Barcelona,41.375319399999995,2.1568267999999997
El Jardín del Edén,4.5,16.0,,"Carrer de Jovellanos, 3::08001 Barcelona::Spain","Carrer de Jovellanos, 3",08001 Barcelona,41.3851722,2.1678005000000002
Cera 23,4.5,555.0,[12 - 33],"Carrer de la Cera, 23::08001 Barcelona::Spain","Carrer de la Cera, 23",08001 Barcelona,41.3788316,2.1663514999999998
A Tu Bola,4.5,79.0,under 11,Carrer Hospital 78::08001 Barcelona::Spain,Carrer Hospital 78,08001 Barcelona,41.3801216,2.1689582
Guell,4.5,64.0,[12 - 33],"Calle Nou de la Rambla, 20::08001 Barcelona::Spain","Calle Nou de la Rambla, 20",08001 Barcelona,41.3786657,2.1737371
Bar Mut,4.5,149.0,[34 - 66],"Carrer de Pau Claris, 192::08037 Barcelona::Spain","Carrer de Pau Claris, 192",08037 Barcelona,41.3973097,2.1612477
Buenos Aires,4.5,55.0,[12 - 33],"Carrer Valencia, 189::08011 Barcelona::Spain","Carrer Valencia, 189",08011 Barcelona,41.3894519,2.1586272999999996
Le Romane,5.0,12.0,,"Carrer de Muntaner, 103::08011 Barcelona::Spain","Carrer de Muntaner, 103",08011 Barcelona,41.388789700000004,2.15636
La Pepita,4.5,514.0,[12 - 33],"Carrer de Còrsega, 343::08037 Barcelona::Spain","Carrer de Còrsega, 343",08037 Barcelona,41.397985399999996,2.1610264
Cachitos,4.0,98.0,[12 - 33],"Rambla Catalunya, 33::08007 Barcelona::Spain","Rambla Catalunya, 33",08007 Barcelona,41.3895111,2.1652823
2254,4.5,62.0,[34 - 66],"Consell de Cent, 335::08007 Barcelona::Spain","Consell de Cent, 335",08007 Barcelona,41.390097499999996,2.1641817999999997
Federal,4.5,55.0,under 11,"Passatge de la Pau, 11::08002 Barcelona::Spain","Passatge de la Pau, 11",08002 Barcelona,41.3779525,2.1777847
Lizarran,4.0,52.0,under 11,"Carrer de Mallorca, 257::08008 Barcelona::Spain","Carrer de Mallorca, 257",08008 Barcelona,41.393454600000005,2.1618641
Momo,4.5,23.0,[12 - 33],"Carrer Arc de Sant Ramon del Call, 6::08002 Barcelona::Spain","Carrer Arc de Sant Ramon del Call, 6",08002 Barcelona,41.3823578,2.1756189
